,price,unit,interval_start,interval_end
0,15.37,1200,15.37,0.0
1,13.84,1200,13.84,15.37
2,12.46,2400,12.46,13.84
3,11.21,3600,11.21,12.46
4,10.08,6400,10.08,11.21
