,price,unit,interval_start,interval_end
0,8.901,7200,8.901,0.0
1,8.11,1200,8.11,8.901
2,7.38,1600,7.38,8.11
3,6.72,2400,6.72,7.38
4,6.12,3600,6.12,6.72
