,price,unit,interval_start,interval_end
0,16.0,400,16.0,0.0
1,14.56,400,14.56,16.0
2,13.25,800,13.25,14.56
3,12.06,1200,12.06,13.25
4,10.97,1200,10.97,12.06
5,9.98,1200,9.98,10.97
6,9.08,2400,9.08,9.98
7,8.26,2400,8.26,9.08
8,7.52,2400,7.52,8.26
9,6.84,3200,6.84,7.52
10,6.23,3200,6.23,6.84
11,5.67,3200,5.67,6.23
12,5.16,4800,5.16,5.67
13,4.7,4800,4.7,5.16
14,4.28,4800,4.28,4.7
15,3.89,6400,3.89,4.28
