,price,unit,interval_start,interval_end
0,8.0,800,8.0,0.0
1,7.1,800,7.1,8.0
2,6.0,1600,6.0,7.1
3,5.63,1600,5.63,6.0
4,5.07,2400,5.07,5.63
5,4.56,3200,4.56,5.07
6,4.1,3600,4.1,4.56
7,3.69,6400,3.69,4.1
