,price,unit,interval_start,interval_end
0,50.8043,1800,50.8043,0.0
1,45.0,400,45.0,50.8043
2,40.3986,800,40.3986,45.0
3,35.0,800,35.0,40.3986
4,14.3,1600,14.3,35.0
5,12.5,1600,12.5,14.3
6,11.0,3200,11.0,12.5
7,10.0,3600,10.0,11.0
8,9.0,4800,9.0,10.0
9,8.0,6400,8.0,9.0
10,7.1,8400,7.1,8.0
11,6.0,12000,6.0,7.1
12,5.63,12800,5.63,6.0
