,price,unit,interval_start,interval_end
0,28,1800,28,0.0
1,25,400,25,28.0
2,22,500,22,25.0
3,20,800,20,22.0
4,18,800,18,20.0
5,15,1600,15,18.0
6,14,1600,14,15.0
7,12,1600,12,14.0
8,11,1600,11,12.0
9,10,1600,10,11.0
10,9,3200,9,10.0
11,8,3000,8,9.0
12,7,5000,7,8.0
