,price,unit,interval_start,interval_end
0,54.0,200,54.0,0.0
1,48.71,400,48.71,54.0
2,43.94,800,43.94,48.71
3,39.63,1200,39.63,43.94
4,35.75,2400,35.75,39.63
5,32.25,3200,32.25,35.75
6,29.09,6400,29.09,32.25
7,26.24,6400,26.24,29.09
8,23.67,6400,23.67,26.24
9,21.35,6400,21.35,23.67
10,19.26,6400,19.26,21.35
11,17.37,6400,17.37,19.26
12,15.67,6400,15.67,17.37
13,14.13,6400,14.13,15.67
14,12.75,6400,12.75,14.13
